MY_COLOR,IN_FEN,OUT_FORMAT,OUT_STANDARD
BLACK,rn1qkb1r/pbpn1ppp/1p2p3/3PP3/3P4/2N2P2/PP4PP/R1BQKBNR b KQkq - 0 7,e6d5,e6d5
BLACK,rn1qkb1r/pbpn1ppp/1p6/3pP3/3P4/2NB1P2/PP4PP/R1BQK1NR b KQkq - 1 8,c7c5,c7c5
BLACK,rn1qkb1r/pb1n1ppp/1p6/2PpP3/8/2NB1P2/PP4PP/R1BQK1NR b KQkq - 0 9,f8c5,f8c5
BLACK,rn1qk2r/pb1n1ppp/1p6/2bpP3/8/2NB1P2/PP2Q1PP/R1B1K1NR b KQkq - 1 10,b8c6,b8c6
BLACK,r2qk2r/pb1n1ppp/1pn5/2bpP3/5P2/2NB4/PP2Q1PP/R1B1K1NR b KQkq - 0 11,c6d4,c6d4
BLACK,r2qk2r/pb1n1ppp/1p6/2bpP3/3n1PQ1/2NB4/PP4PP/R1B1K1NR b KQkq - 2 12,d8e7,d8e7
BLACK,r3k2r/pb1nqppp/1p6/2bpP3/3n1PQ1/2NB4/PP2N1PP/R1B1K2R b KQkq - 4 13,d4e2,d4e2
BLACK,r3k2r/pb1nqppp/1p6/2bpP3/5PQ1/3B4/PP2N1PP/R1B1K2R b KQkq - 0 14,c5b4,c5b4
BLACK,r3k2r/pb1nqppp/1p6/3pP3/1b3PQ1/3B4/PP2N1PP/R1B2K1R b kq - 2 15,O-O,e8g8
BLACK,r4rk1/pb1nqppp/1p6/3pP3/1b3PQ1/P2B4/1P2N1PP/R1B2K1R b - - 0 16,f7f6,f7f6
BLACK,r4rk1/pb1nq1pp/1p3p2/3pP3/1P3PQ1/3B4/1P2N1PP/R1B2K1R b - - 0 17,f6e5,f6e5
BLACK,r4rk1/pb1nq1pp/1p6/3ppB2/1P3PQ1/8/1P2N1PP/R1B2K1R b - - 1 18,d7f6,d7f6
BLACK,r4rk1/pb2q1pp/1p3n2/3ppB2/1P3P2/7Q/1P2N1PP/R1B2K1R b - - 3 19,g7g6,g7g6
BLACK,r4rk1/pb2q2p/1p2Bnp1/3pp3/1P3P2/7Q/1P2N1PP/R1B2K1R b - - 1 20,g8h8,g8h8
BLACK,r4r1k/pb2q2p/1p2Bnp1/3ppP2/1P6/7Q/1P2N1PP/R1B2K1R b - - 0 21,f6e4,f6e4
BLACK,r4r1k/pb2q2p/1p2B1p1/3ppP2/1P2n3/7Q/1P2N1PP/R1B3KR b - - 2 22,e7b4,e7b4
BLACK,r4r1k/pb5p/1p2B1pB/3ppP2/1q2n3/7Q/1P2N1PP/R5KR b - - 1 23,b4b2,b4b2
BLACK,r4r1k/pb5p/1p2B1pB/3ppP2/4n3/7Q/1q2N1PP/4R1KR b - - 1 24,b2b4,b2b4
BLACK,r4r1k/pb5p/1p2B1pB/3ppP2/1q2n3/7Q/4N1PP/5RKR b - - 3 25,f8f6,f8f6
BLACK,r6k/pb5p/1p2BrpB/3ppP2/1q2n1P1/7Q/4N2P/5RKR b - - 0 26,b7a6,b7a6
BLACK,r6k/p6p/bp2BrpB/3ppP2/1q2n1P1/4Q3/4N2P/5RKR b - - 2 27,g6f5,g6f5
BLACK,r6k/p6p/bp2Br1B/3pppQ1/1q2n1P1/8/4N2P/5RKR b - - 1 28,e4g5,e4g5
BLACK,r6k/p6p/bp2Br2/3pppB1/1q4P1/8/4N2P/5RKR b - - 0 29,b4g4,b4g4
BLACK,r6k/p6p/bp2Br2/3pppB1/6q1/6N1/7P/5RKR b - - 1 30,g4g5,g4g5
BLACK,r6k/p6p/bp2Br2/3ppRq1/8/6N1/7P/6KR b - - 0 31,f6f5,f6f5
BLACK,r6k/p6p/bp6/3ppBq1/8/6N1/7P/6KR b - - 0 32,g5d2,g5d2
BLACK,r6k/p6p/bp6/3ppB2/7P/6N1/3q4/6KR b - - 0 33,a8g8,a8g8
BLACK,6rk/p6p/bp6/3ppB2/7P/6NR/3q4/6K1 b - - 2 34,a6d3,a6d3
BLACK,6rk/p6p/1p2B3/3pp3/7P/3b2NR/3q4/6K1 b - - 4 35,g8g3,g8g3
BLACK,7k/p6p/1p2B3/3pp3/7P/3b2R1/3q4/6K1 b - - 0 36,d2e1,d2e1
BLACK,7k/p6p/1p2B3/3pp3/7P/3b2R1/7K/4q3 b - - 2 37,e1g3,e1g3
BLACK,7k/p6p/1p2B3/3pp3/7P/3b2K1/8/8 b - - 0 38,d5d4,d5d4
BLACK,7k/p6p/1p2B3/4p3/3p3P/3b1K2/8/8 b - - 1 39,a7a5,a7a5
BLACK,7k/7p/1p6/p2Bp3/3p3P/3b1K2/8/8 b - - 1 40,a5a4,a5a4
BLACK,7k/7p/1p6/3Bp3/p2p2KP/3b4/8/8 b - - 1 41,a4a3,a4a3
BLACK,7k/7p/1p6/3Bp1K1/3p3P/p2b4/8/8 b - - 1 42,h8g7,h8g7
BLACK,8/6kp/1p6/3Bp1KP/3p4/p2b4/8/8 b - - 0 43,h7h6,h7h6
BLACK,8/6k1/1p5p/3Bp2P/3p2K1/p2b4/8/8 b - - 1 44,b6b5,b6b5
BLACK,8/6k1/7p/1p1Bp2P/3p4/p2b1K2/8/8 b - - 1 45,b5b4,b5b4
BLACK,8/6k1/7p/3Bp2P/1p1p4/p2b4/5K2/8 b - - 1 46,e5e4,e5e4
BLACK,8/6k1/7p/3B3P/1p1pp3/p2b4/8/4K3 b - - 1 47,e4e3,e4e3
BLACK,8/6k1/7p/3B3P/1p1p4/p2bp3/8/3K4 b - - 1 48,g7f6,g7f6
BLACK,8/8/5k1p/3B3P/1p1p4/p2bp3/8/2K5 b - - 3 49,f6e5,f6e5
BLACK,8/8/7p/4k2P/1p1p4/pB1bp3/8/2K5 b - - 5 50,d3f5,d3f5
BLACK,8/8/7p/4kb1P/1p1p4/pB2p3/8/3K4 b - - 7 51,d4d3,d4d3
BLACK,8/8/7p/4kb1P/1p6/pB1pp3/8/4K3 b - - 1 52,f5h3,f5h3
BLACK,8/8/7p/4k2P/1p6/p2pp2b/8/3BK3 b - - 3 53,e5d4,e5d4
BLACK,8/8/7p/7P/1p1k4/pB1pp2b/8/4K3 b - - 5 54,d4c3,d4c3
WHITE,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,e2e4
WHITE,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g2g3,g2g3
WHITE,rnbqkbnr/ppp1pp1p/3p2p1/8/4P3/6P1/PPPP1P1P/RNBQKBNR w KQkq - 0 3,f1g2,f1g2
WHITE,rnbqk1nr/ppp1ppbp/3p2p1/8/4P3/6P1/PPPP1PBP/RNBQK1NR w KQkq - 2 4,g1e2,g1e2
