MY_COLOR,IN_FEN,OUT_FORMAT,OUT_STANDARD
WHITE,r3kb1r/ppnb1ppp/1qp1p1n1/3pP3/2PP4/P4NP1/1P1N1PBP/R1BQ1RK1 w kq - 1 12,c4c5,c4c5
WHITE,r3kb1r/ppnb1ppp/q1p1p1n1/2PpP3/3P4/P4NP1/1P1N1PBP/R1BQ1RK1 w kq - 1 13,h2h4,h2h4
WHITE,r3kb1r/p1nb1ppp/qpp1p1n1/2PpP3/3P3P/P4NP1/1P1N1PB1/R1BQ1RK1 w kq - 0 14,b2b4,b2b4
WHITE,r3kb1r/pqnb1ppp/1pp1p1n1/2PpP3/1P1P3P/P4NP1/3N1PB1/R1BQ1RK1 w kq - 1 15,h4h5,h4h5
WHITE,r3kb1r/pqnbnppp/1pp1p3/2PpP2P/1P1P4/P4NP1/3N1PB1/R1BQ1RK1 w kq - 1 16,f1e1,f1e1
WHITE,r3kb1r/1qnbnppp/1pp1p3/p1PpP2P/1P1P4/P4NP1/3N1PB1/R1BQR1K1 w kq - 0 17,a1b1,a1b1
WHITE,r3kb1r/1qnbnppp/1pp1p3/2PpP2P/1p1P4/P4NP1/3N1PB1/1RBQR1K1 w kq - 0 18,a3b4,a3b4
WHITE,r3kb1r/1qnb1ppp/1pp1p3/2PpPn1P/1P1P4/5NP1/3N1PB1/1RBQR1K1 w kq - 1 19,g3g4,g3g4
WHITE,r3kb1r/1qnbnppp/1pp1p3/2PpP2P/1P1P2P1/5N2/3N1PB1/1RBQR1K1 w kq - 1 20,b1b3,b1b3
WHITE,r3kb1r/1qnbnp1p/1pp1p1p1/2PpP2P/1P1P2P1/1R3N2/3N1PB1/2BQR1K1 w kq - 0 21,h5g6,h5g6
WHITE,r3kb1r/1qnb1p1p/1pp1p1n1/2PpP3/1P1P2P1/1R3N2/3N1PB1/2BQR1K1 w kq - 0 22,d2f1,d2f1
WHITE,r3k2r/1qnb1pbp/1pp1p1n1/2PpP3/1P1P2P1/1R3N2/5PB1/2BQRNK1 w kq - 2 23,f1g3,f1g3
WHITE,r4rk1/1qnb1pbp/1pp1p1n1/2PpP3/1P1P2P1/1R3NN1/5PB1/2BQR1K1 w - - 4 24,g3h5,g3h5
WHITE,rr4k1/1qnb1pbp/1pp1p1n1/2PpP2N/1P1P2P1/1R3N2/5PB1/2BQR1K1 w - - 6 25,h5g7,h5g7
WHITE,rr6/1qnb1pkp/1pp1p1n1/2PpP3/1P1P2P1/1R3N2/5PB1/2BQR1K1 w - - 0 26,d1d2,d1d2
WHITE,rrq5/2nb1pkp/1pp1p1n1/2PpP3/1P1P2P1/1R3N2/3Q1PB1/2B1R1K1 w - - 2 27,d2h6,d2h6
WHITE,rrq4k/2nb1p1p/1pp1p1nQ/2PpP3/1P1P2P1/1R3N2/5PB1/2B1R1K1 w - - 4 28,f3g5,f3g5
WHITE,rr4qk/2nb1p1p/1pp1p1nQ/2PpP1N1/1P1P2P1/1R6/5PB1/2B1R1K1 w - - 6 29,b3f3,b3f3
WHITE,rr2b1qk/2n2p1p/1pp1p1nQ/2PpP1N1/1P1P2P1/5R2/5PB1/2B1R1K1 w - - 8 30,f3h3,f3h3
WHITE,rr2bnqk/2n2p1p/1pp1p2Q/2PpP1N1/1P1P2P1/7R/5PB1/2B1R1K1 w - - 10 31,g2f1,g2f1
WHITE,rr2bn1k/2n2pqp/1pp1p2Q/2PpP1N1/1P1P2P1/7R/5P2/2B1RBK1 w - - 12 32,h6h4,h6h4
WHITE,rr2bn1k/2n2pqp/2p1p3/2ppP1N1/1P1P2PQ/7R/5P2/2B1RBK1 w - - 0 33,f1d3,f1d3
WHITE,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,e2e4
WHITE,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,c2c4,c2c4
WHITE,rnbqkbnr/pp1p1ppp/2p5/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3,b1c3,b1c3
WHITE,rnbqkbnr/pp3ppp/2pp4/4p3/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq - 0 4,g2g3,g2g3
WHITE,rnbqkb1r/pp3ppp/2pp1n2/4p3/2P1P3/2N3P1/PP1P1P1P/R1BQKBNR w KQkq - 1 5,f1g2,f1g2
WHITE,rn1qkb1r/pp3ppp/2ppbn2/4p3/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR w KQkq - 3 6,d2d3,d2d3
WHITE,r2qkb1r/pp1n1ppp/2ppbn2/4p3/2P1P3/2NP2P1/PP3PBP/R1BQK1NR w KQkq - 1 7,g1e2,g1e2
WHITE,r2qk2r/pp1nbppp/2ppbn2/4p3/2P1P3/2NP2P1/PP2NPBP/R1BQK2R w KQkq - 3 8,O-O,e1g1
WHITE,r2q1rk1/pp1nbppp/2ppbn2/4p3/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - - 5 9,f2f4,f2f4
WHITE,r2q1rk1/pp2bppp/1nppbn2/4p3/2P1PP2/2NP2P1/PP2N1BP/R1BQ1RK1 w - - 1 10,f4f5,f4f5
WHITE,r2q1rk1/pp1bbppp/1npp1n2/4pP2/2P1P3/2NP2P1/PP2N1BP/R1BQ1RK1 w - - 1 11,h2h3,h2h3
WHITE,r2qnrk1/pp1bbppp/1npp4/4pP2/2P1P3/2NP2PP/PP2N1B1/R1BQ1RK1 w - - 1 12,c1e3,c1e3
WHITE,r2qnrk1/pp1bb1pp/1npp1p2/4pP2/2P1P3/2NPB1PP/PP2N1B1/R2Q1RK1 w - - 0 13,g3g4,g3g4
WHITE,r2q1rk1/ppnbb1pp/1npp1p2/4pP2/2P1P1P1/2NPB2P/PP2N1B1/R2Q1RK1 w - - 1 14,e3f2,e3f2
WHITE,r2qbrk1/ppn1b1pp/1npp1p2/4pP2/2P1P1P1/2NP3P/PP2NBB1/R2Q1RK1 w - - 3 15,b2b3,b2b3
WHITE,r2qbrk1/ppn1b1pp/1np2p2/3ppP2/2P1P1P1/1PNP3P/P3NBB1/R2Q1RK1 w - - 0 16,e4d5,e4d5
WHITE,r2qbrk1/ppn1b1pp/1n3p2/3ppP2/2P3P1/1PNP3P/P3NBB1/R2Q1RK1 w - - 0 17,c4c5,c4c5
WHITE,r2qbrk1/ppnnb1pp/5p2/2PppP2/6P1/1PNP3P/P3NBB1/R2Q1RK1 w - - 1 18,d3d4,d3d4
WHITE,r2qbrk1/ppnnb1pp/5p2/2Pp1P2/3Pp1P1/1PN4P/P3NBB1/R2Q1RK1 w - - 0 19,e2f4,e2f4
WHITE,rn1qbrk1/ppn1b1pp/5p2/2Pp1P2/3PpNP1/1PN4P/P4BB1/R2Q1RK1 w - - 2 20,b3b4,b3b4
WHITE,rn2brk1/ppnqb1pp/5p2/2Pp1P2/1P1PpNP1/2N4P/P4BB1/R2Q1RK1 w - - 1 21,b4b5,b4b5
WHITE,rn3rk1/ppnqbbpp/5p2/1PPp1P2/3PpNP1/2N4P/P4BB1/R2Q1RK1 w - - 1 22,a2a4,a2a4
WHITE,rn3rk1/1pnqbbpp/5p2/pPPp1P2/P2PpNP1/2N4P/5BB1/R2Q1RK1 w - a6 0 23,h3h4,h3h4
WHITE,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,e2e4
WHITE,rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,d2d4
WHITE,rnbqk1nr/ppppppbp/6p1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,b1c3,b1c3
WHITE,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,f2f4,f2f4
WHITE,r1bqk1nr/pppnppbp/3p2p1/8/3PPP2/2N5/PPP3PP/R1BQKBNR w KQkq - 1 5,g1f3,g1f3
WHITE,r1bqk2r/pppnppbp/3p2pn/8/3PPP2/2N2N2/PPP3PP/R1BQKB1R w KQkq - 3 6,c1e3,c1e3
WHITE,r1bqk2r/pppn1pbp/3p2pn/4p3/3PPP2/2N1BN2/PPP3PP/R2QKB1R w KQkq - 0 7,f1c4,f1c4
WHITE,r1bqk2r/pp1n1pbp/2pp2pn/4p3/2BPPP2/2N1BN2/PPP3PP/R2QK2R w KQkq - 0 8,O-O,e1g1
WHITE,r1bq1rk1/pp1n1pbp/2pp2pn/4p3/2BPPP2/2N1BN2/PPP3PP/R2Q1RK1 w - - 2 9,f4e5,f4e5
WHITE,r1bq1rk1/pp1n1pbp/2p3pn/4p3/2BPP3/2N1BN2/PPP3PP/R2Q1RK1 w - - 0 10,h2h3,h2h3
WHITE,r1bq1rk1/pp1n1pbp/2p3pn/8/2BpP3/2N1BN1P/PPP3P1/R2Q1RK1 w - - 0 11,f3d4,f3d4
WHITE,r1bq1rk1/pp3pbp/2p3pn/4n3/2BNP3/2N1B2P/PPP3P1/R2Q1RK1 w - - 1 12,c4e2,c4e2
WHITE,r1bq1rk1/pp4bp/2p2ppn/4n3/3NP3/2N1B2P/PPP1B1P1/R2Q1RK1 w - - 0 13,d1d2,d1d2
WHITE,r1bq1rk1/pp3nbp/2p2pp1/4n3/3NP3/2N1B2P/PPPQB1P1/R4RK1 w - - 2 14,a1d1,a1d1
WHITE,r1b2rk1/pp2qnbp/2p2pp1/4n3/3NP3/2N1B2P/PPPQB1P1/3R1RK1 w - - 4 15,d2e1,d2e1
WHITE,r1b1r1k1/pp2qnbp/2p2pp1/4n3/3NP3/2N1B2P/PPP1B1P1/3RQRK1 w - - 6 16,e1h4,e1h4
WHITE,r1b1r1k1/pp2q1bp/2p2pp1/4n1n1/3NP2Q/2N1B2P/PPP1B1P1/3R1RK1 w - - 8 17,d1e1,d1e1
WHITE,r1b1r1k1/pp2q1b1/2p2ppp/4n1n1/3NP2Q/2N1B2P/PPP1B1P1/4RRK1 w - - 0 18,g1h1,g1h1
WHITE,r1b1r3/pp2q1bk/2p2ppp/4n1n1/3NP2Q/2N1B2P/PPP1B1P1/4RR1K w - - 2 19,c3d1,c3d1
WHITE,r1b1r3/p3q1bk/1pp2ppp/4n1n1/3NP2Q/4B2P/PPP1B1P1/3NRR1K w - - 0 20,d1f2,d1f2
WHITE,r3r3/pb2q1bk/1pp2ppp/4n1n1/3NP2Q/4B2P/PPP1BNP1/4RR1K w - - 2 21,d4f3,d4f3
WHITE,r3r3/pb2q1bk/1p3ppp/2p1n1n1/4P2Q/4BN1P/PPP1BNP1/4RR1K w - - 0 22,e2b5,e2b5
WHITE,r2r4/pb2q1bk/1p3ppp/1Bp1n1n1/4P2Q/4BN1P/PPP2NP1/4RR1K w - - 2 23,f3e5,f3e5
WHITE,r2r4/pb4bk/1p3ppp/1Bp1q1n1/4P2Q/4B2P/PPP2NP1/4RR1K w - - 0 24,f2g4,f2g4
WHITE,r2r4/pb4bk/1p3ppp/1Bp3n1/4q1NQ/4B2P/PPP3P1/4RR1K w - - 0 25,e1e2,e1e2
WHITE,r2r4/pb4bk/1p3ppp/1Bp3n1/1q4NQ/4B2P/PPP1R1P1/5R1K w - - 2 26,c2c4,c2c4
WHITE,r4r2/pb4bk/1p3ppp/1Bp3n1/1qP3NQ/4B2P/PP2R1P1/5R1K w - - 1 27,g4h6,g4h6
WHITE,r4r2/pb5k/1p3ppb/1Bp3n1/1qP4Q/4B2P/PP2R1P1/5R1K w - - 0 28,e3g5,e3g5
WHITE,r4r2/pb5k/1p4pb/1Bp3p1/1qP4Q/7P/PP2R1P1/5R1K w - - 0 29,e2e7,e2e7
WHITE,r4rk1/pb2R3/1p4pb/1Bp3p1/1qP4Q/7P/PP4P1/5R1K w - - 2 30,f1f8,f1f8
WHITE,5rk1/pb2R3/1p4pb/1Bp3p1/1qP4Q/7P/PP4P1/7K w - - 0 31,h4h6,h4h6
WHITE,5rk1/p3R3/1p4pQ/1Bp3p1/1qP5/7P/PP4b1/7K w - - 0 32,h1h2,h1h2
BLACK,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,b7b6,b7b6
BLACK,rnbqkbnr/p1pppppp/1p6/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,c8b7,c8b7
BLACK,rn1qkbnr/pbpppppp/1p6/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 2 3,e7e6,e7e6
BLACK,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,f8b4,f8b4
BLACK,rn1qk1nr/pbpp1ppp/1p2p3/8/1b1PP3/2NB1N2/PPP2PPP/R1BQK2R b KQkq - 2 5,d7d5,d7d5
BLACK,rn1qk1nr/pbp2ppp/1p2p3/3P4/1b1P4/2NB1N2/PPP2PPP/R1BQK2R b KQkq - 0 6,d8d5,d8d5
BLACK,rn2k1nr/pbp2ppp/1p2p3/3q4/1b1P4/2NB1N2/PPP2PPP/R1BQ1RK1 b kq - 1 7,d5d8,d5d8
BLACK,rn1qk1nr/pbp2ppp/1p2p3/8/1b1P4/P1NB1N2/1PP2PPP/R1BQ1RK1 b kq - 0 8,b4e7,b4e7
BLACK,rn1qk1nr/pbp1bppp/1p2p3/8/3PB3/P1N2N2/1PP2PPP/R1BQ1RK1 b kq - 2 9,b7e4,b7e4
BLACK,rn1qk1nr/p1p1bppp/1p2p3/8/3PN3/P4N2/1PP2PPP/R1BQ1RK1 b kq - 0 10,g8f6,g8f6
BLACK,rn1qk2r/p1p1bppp/1p2pN2/8/3P4/P4N2/1PP2PPP/R1BQ1RK1 b kq - 0 11,e7f6,e7f6
BLACK,rn1qk2r/p1p2ppp/1p2pb2/8/3P1B2/P4N2/1PP2PPP/R2Q1RK1 b kq - 1 12,O-O,e8g8
BLACK,rn1q1rk1/p1p2ppp/1p2pb2/8/3P1B2/P4N2/1PP2PPP/R2QR1K1 b - - 3 13,b8c6,b8c6
BLACK,r2q1rk1/p1p2ppp/1pn1pb2/8/3P1B2/P1P2N2/1P3PPP/R2QR1K1 b - - 0 14,d8d7,d8d7
BLACK,r4rk1/p1pq1ppp/1pn1pb2/4N3/3P1B2/P1P5/1P3PPP/R2QR1K1 b - - 2 15,f6e5,f6e5
BLACK,r4rk1/p1pq1ppp/1pn1p3/4B3/3P4/P1P5/1P3PPP/R2QR1K1 b - - 0 16,c6e5,c6e5
BLACK,r4rk1/p1pq1ppp/1p2p3/4R3/3P4/P1P5/1P3PPP/R2Q2K1 b - - 0 17,a8d8,a8d8
BLACK,3r1rk1/p1pq1ppp/1p2p3/4R3/3P4/P1PQ4/1P3PPP/R5K1 b - - 2 18,c7c5,c7c5
BLACK,3r1rk1/p2q1ppp/1p2p3/2p1R3/3P4/P1PQ4/1P3PPP/3R2K1 b - - 1 19,c5d4,c5d4
BLACK,3r1rk1/p2q1ppp/1p2p3/4R3/3P4/P2Q4/1P3PPP/3R2K1 b - - 0 20,d7c7,d7c7
BLACK,3r1rk1/p1q2ppp/1p2p3/8/3P4/P2Q4/1P2RPPP/3R2K1 b - - 2 21,d8d5,d8d5
BLACK,5rk1/p1q2ppp/1p2p3/3r4/3P4/P1Q5/1P2RPPP/3R2K1 b - - 4 22,c7c3,c7c3
BLACK,5rk1/p4ppp/1p2p3/3r4/3P4/P1P5/4RPPP/3R2K1 b - - 0 23,f8c8,f8c8
BLACK,2r3k1/p4ppp/1p2p3/3r4/3P4/P1P1R3/5PPP/3R2K1 b - - 2 24,d5b5,d5b5
BLACK,2r3k1/p4ppp/1p2p3/1r6/3P4/P1P1R3/5PPP/2R3K1 b - - 4 25,b5b3,b5b3
BLACK,2r3k1/p4ppp/1p2p3/8/2PP4/Pr2R3/5PPP/2R3K1 b - - 0 26,c8c4,c8c4
BLACK,6k1/p4ppp/1p2p3/8/2rP4/Pr2R3/5PPP/4R1K1 b - - 1 27,b3e3,b3e3
BLACK,6k1/p4ppp/1p2p3/8/2rP4/P3P3/6PP/4R1K1 b - - 0 28,c4c3,c4c3
BLACK,6k1/p4ppp/1p2p3/8/3P4/P1r1P3/5KPP/4R3 b - - 2 29,c3a3,c3a3
BLACK,6k1/p4ppp/1p2p3/8/3P4/r3P3/5KPP/2R5 b - - 1 30,f7f5,f7f5
BLACK,2R3k1/p5pp/1p2p3/5p2/3P4/r3P3/5KPP/8 b - - 1 31,g8f7,g8f7
BLACK,8/p1R2kpp/1p2p3/5p2/3P4/r3P3/5KPP/8 b - - 3 32,f7f6,f7f6
BLACK,8/p1R3pp/1p2pk2/5p2/3P4/r3PK2/6PP/8 b - - 5 33,b6b5,b6b5
BLACK,8/pR4pp/4pk2/1p3p2/3P4/r3PK2/6PP/8 b - - 1 34,g7g5,g7g5
BLACK,8/p6p/4pk2/1R3pp1/3P4/r3PK2/6PP/8 b - - 0 35,f5f4,f5f4
BLACK,8/p6p/4pk2/4R1p1/3P1p2/r3PK2/6PP/8 b - - 1 36,a3e3,a3e3
BLACK,8/p6p/4pk2/6p1/3P1p2/4RK2/6PP/8 b - - 0 37,f4e3,f4e3
BLACK,8/p6p/4pk2/6p1/3P4/4K3/6PP/8 b - - 0 38,f6f5,f6f5
BLACK,8/p6p/4p3/5kp1/3P4/4K2P/6P1/8 b - - 0 39,h7h5,h7h5
BLACK,8/p7/4p3/5kpp/3P4/5K1P/6P1/8 b - - 1 40,g5g4,g5g4
BLACK,8/p7/4p3/5k1p/3P2P1/5K2/6P1/8 b - - 0 41,h5g4,h5g4
BLACK,8/p7/4p3/5k2/3P2p1/4K3/6P1/8 b - - 1 42,a7a5,a7a5
BLACK,8/8/4p3/p4k2/3P2p1/3K4/6P1/8 b - - 1 43,a5a4,a5a4
BLACK,8/8/4p3/5k2/p2P2p1/2K5/6P1/8 b - - 1 44,f5e4,f5e4
BLACK,8/8/4p3/8/pK1Pk1p1/8/6P1/8 b - - 3 45,e4d4,e4d4
BLACK,8/8/4p3/8/K2k2p1/8/6P1/8 b - - 0 46,d4e3,d4e3
BLACK,8/8/4p3/8/1K4p1/4k3/6P1/8 b - - 2 47,e3f2,e3f2
BLACK,8/8/4p3/8/2K3p1/8/5kP1/8 b - - 4 48,f2g2,f2g2
BLACK,8/8/4p3/8/3K2p1/8/6k1/8 b - - 1 49,g4g3,g4g3
BLACK,8/8/4p3/4K3/8/6p1/6k1/8 b - - 1 50,g2f3,g2f3
BLACK,8/8/4K3/8/8/5kp1/8/8 b - - 0 51,g3g2,g3g2
BLACK,8/8/8/3K4/8/5k2/6p1/8 b - - 1 52,g2g1q,g2g1q
BLACK,8/8/8/4K3/8/5k2/8/6q1 b - - 1 53,g1c5,g1c5
BLACK,8/8/4K3/2q5/8/5k2/8/8 b - - 3 54,f3f4,f3f4
BLACK,8/8/5K2/2q5/5k2/8/8/8 b - - 5 55,c5c6,c5c6
BLACK,8/6K1/2q5/8/5k2/8/8/8 b - - 7 56,f4g5,f4g5
BLACK,8/7K/2q5/6k1/8/8/8/8 b - - 9 57,c6d7,c6d7
BLACK,6K1/3q4/8/6k1/8/8/8/8 b - - 11 58,g5f6,g5f6
BLACK,7K/3q4/5k2/8/8/8/8/8 b - - 13 59,d7g7,d7g7
BLACK,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,g8f6,g8f6
BLACK,rnbqkb1r/pppppppp/5n2/4P3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,f6d5,f6d5
BLACK,rnbqkb1r/pppppppp/8/3nP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,d7d6,d7d6
BLACK,rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4,g7g6,g7g6
BLACK,rnbqkb1r/ppp1pp1p/3p2p1/3nP3/2BP4/5N2/PPP2PPP/RNBQK2R b KQkq - 1 5,d5b6,d5b6
BLACK,rnbqkb1r/ppp1pp1p/1n1p2p1/4P3/3P4/1B3N2/PPP2PPP/RNBQK2R b KQkq - 3 6,f8g7,f8g7
BLACK,rnbqk2r/ppp1ppbp/1n1p2p1/4P3/3P4/1B3N2/PPP1QPPP/RNB1K2R b KQkq - 5 7,b8c6,b8c6
BLACK,r1bqk2r/ppp1ppbp/1nnp2p1/4P3/3P4/1B3N2/PPP1QPPP/RNB2RK1 b kq - 7 8,d6d5,d6d5
BLACK,r1bqk2r/ppp1ppbp/1nn3p1/3pP3/P2P4/1B3N2/1PP1QPPP/RNB2RK1 b kq - 0 9,c8g4,c8g4
BLACK,r2qk2r/ppp1ppbp/1nn3p1/3pP3/P2P2b1/1BP2N2/1P2QPPP/RNB2RK1 b kq - 0 10,a7a6,a7a6
BLACK,r2qk2r/1pp1ppbp/pnn3p1/3pP3/P2P2b1/1BP2N2/1P1NQPPP/R1B2RK1 b kq - 1 11,O-O,e8g8
BLACK,r2q1rk1/1pp1ppbp/pnn3p1/3pP3/P2P2b1/1BP2N1P/1P1NQPP1/R1B2RK1 b - - 0 12,g4f5,g4f5
BLACK,r2q1rk1/1pp1ppbp/pnn3p1/3pPb2/P2P4/1BP2N1P/1P1NQPP1/R1B1R1K1 b - - 2 13,c6a5,c6a5
BLACK,r2q1rk1/1pp1ppbp/pn4p1/n2pPb2/P2P4/2P2N1P/1P1NQPP1/R1BBR1K1 b - - 4 14,f7f6,f7f6
BLACK,r2q1rk1/1pp1p1bp/pn3pp1/n2pPb2/P2P4/2P2N1P/1P2QPP1/R1BBRNK1 b - - 1 15,a5c6,a5c6
BLACK,r2q1rk1/1pp1p1bp/pnn2pp1/3pPb2/P2P4/2P2NNP/1P2QPP1/R1BBR1K1 b - - 3 16,f6e5,f6e5
BLACK,r2q1rk1/1pp1p1bp/pnn3p1/3pPb2/P7/2P2NNP/1P2QPP1/R1BBR1K1 b - - 0 17,f5c8,f5c8
BLACK,r1bq1rk1/1pp1p1bp/pnn3p1/3pP1B1/P7/2P2NNP/1P2QPP1/R2BR1K1 b - - 2 18,b6c4,b6c4
BLACK,r1bq1rk1/1pp1p1bp/p1n3p1/3pP1B1/P1n5/1BP2NNP/1P2QPP1/R3R1K1 b - - 4 19,c8e6,c8e6
BLACK,r2q1rk1/1pp1p1bp/p1n1b1p1/3pP1B1/P1n5/1BP2NNP/1P2QPP1/3RR1K1 b - - 6 20,d8e8,d8e8
BLACK,r3qrk1/1pp1p1bp/p1n1b1p1/3pP1B1/P1B5/2P2NNP/1P2QPP1/3RR1K1 b - - 0 21,d5c4,d5c4
BLACK,r3qrk1/1pp1p1bp/p1n1b1p1/4P1B1/P1pN4/2P3NP/1P2QPP1/3RR1K1 b - - 1 22,c6d4,c6d4
BLACK,r3qrk1/1pp1p1bp/p3b1p1/4P1B1/P1pP4/6NP/1P2QPP1/3RR1K1 b - - 0 23,e6d5,e6d5
BLACK,r3qrk1/1pp1p1bp/p5p1/3bP1B1/P1pPN3/7P/1P2QPP1/3RR1K1 b - - 2 24,b7b5,b7b5
BLACK,r3qrk1/2p1p1bp/p5p1/1p1bP1B1/P1pP4/2N4P/1P2QPP1/3RR1K1 b - - 1 25,e7e6,e7e6
BLACK,r3qrk1/2p3bp/p3p1p1/1P1bP1B1/2pP4/2N4P/1P2QPP1/3RR1K1 b - - 0 26,a6b5,a6b5
BLACK,r3qrk1/2p3bp/4p1p1/1p1bP1B1/2pP4/2N2P1P/1P2Q1P1/3RR1K1 b - - 0 27,b5b4,b5b4
BLACK,r3qrk1/2p3bp/4p1p1/3bP1B1/1ppPN3/5P1P/1P2Q1P1/3RR1K1 b - - 1 28,a8a2,a8a2
BLACK,4qrk1/2p3bp/4p1p1/3bP1B1/1ppPN3/5P1P/rP2Q1P1/R3R1K1 b - - 3 29,e8a8,e8a8
BLACK,q4rk1/2p3bp/4p1p1/3bP1B1/1ppPN3/5P1P/RP2Q1P1/4R1K1 b - - 0 30,a8a2,a8a2
BLACK,5rk1/2p3bp/4p1p1/3bP1B1/1ppPN3/5P1P/qP1Q2P1/4R1K1 b - - 1 31,d5e4,d5e4
BLACK,5rk1/2p3bp/4p1p1/4P1B1/1ppPR3/5P1P/qP1Q2P1/6K1 b - - 0 32,c4c3,c4c3
BLACK,5rk1/2p3bp/4p1p1/4P1B1/1p1PR3/2P2P1P/q2Q2P1/6K1 b - - 0 33,b4b3,b4b3
BLACK,5rk1/2p3bp/4p1p1/4P1B1/3P4/1pP2P1P/q2QR1P1/6K1 b - - 1 34,a2a1,a2a1
BLACK,5rk1/2p3bp/4p1p1/4P1B1/3P4/1pP2P1P/4R1P1/q1Q3K1 b - - 3 35,f8a8,f8a8
BLACK,r5k1/2p3bp/4p1p1/4P1B1/3P4/1pP2P1P/1R4P1/q1Q3K1 b - - 5 36,a1c1,a1c1
WHITE,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,b2b3
WHITE,rnbqkbnr/ppp1pppp/8/3p4/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,c1b2,c1b2
WHITE,rnbqkb1r/ppp1pppp/5n2/3p4/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 2 3,g1f3,g1f3
WHITE,rn1qkb1r/ppp1pppp/5n2/3p1b2/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq - 4 4,g2g3,g2g3
WHITE,rn1qkb1r/ppp2ppp/4pn2/3p1b2/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq - 0 5,f1g2,f1g2
WHITE,rn1qk2r/ppp1bppp/4pn2/3p1b2/8/1P3NP1/PBPPPPBP/RN1QK2R w KQkq - 2 6,O-O,e1g1
WHITE,rn1qk2r/pp2bppp/4pn2/2pp1b2/8/1P3NP1/PBPPPPBP/RN1Q1RK1 w kq - 0 7,c2c4,c2c4
WHITE,r2qk2r/pp2bppp/2n1pn2/2pp1b2/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w kq - 1 8,c4d5,c4d5
WHITE,r2qk2r/pp2bppp/2n2n2/2pp1b2/8/1P3NP1/PB1PPPBP/RN1Q1RK1 w kq - 0 9,d2d4,d2d4
WHITE,r2q1rk1/pp2bppp/2n2n2/2pp1b2/3P4/1P3NP1/PB2PPBP/RN1Q1RK1 w - - 1 10,e2e3,e2e3
WHITE,r2q1rk1/pp2bppp/5n2/2pp1b2/1n1P4/1P2PNP1/PB3PBP/RN1Q1RK1 w - - 1 11,d4c5,d4c5
WHITE,r2q1rk1/pp3ppp/5n2/2bp1b2/1n6/1P2PNP1/PB3PBP/RN1Q1RK1 w - - 0 12,b1c3,b1c3
WHITE,2rq1rk1/pp3ppp/5n2/2bp1b2/1n6/1PN1PNP1/PB3PBP/R2Q1RK1 w - - 2 13,f3d4,f3d4
WHITE,2rq1rk1/pp3ppp/5n2/2bp4/1n1N4/1PNbP1P1/PB3PBP/R2Q1RK1 w - - 4 14,f1e1,f1e1
WHITE,2rq1rk1/pp3ppp/5n2/3p4/1n1b4/1PNbP1P1/PB3PBP/R2QR1K1 w - - 0 15,e3d4,e3d4
WHITE,2rq1rk1/pp3ppp/5nb1/3p4/1n1P4/1PN3P1/PB3PBP/R2QR1K1 w - - 1 16,b2a3,b2a3
WHITE,2rq1rk1/pp3ppp/5nb1/3p4/3P4/BPN3P1/P1n2PBP/R2QR1K1 w - - 3 17,a3f8,a3f8
WHITE,2rq1k2/pp3ppp/5nb1/3p4/3P4/1PN3P1/P1n2PBP/R2QR1K1 w - - 0 18,d1d2,d1d2
WHITE,2r2k2/pp3ppp/5nb1/q2p4/3P4/1PN3P1/P1nQ1PBP/R3R1K1 w - - 2 19,c3e4,c3e4
