INDEX,COLOR,OUT_INDEX,OUTPUT_DATA_REL,OUTPUT_DATA_FMT,OUTPUT_DATA_RAW
111,WHITE,1600,e4f6,e4f6,e4f6
112,WHITE,1534,c3e4,c3e4,c3e4
113,WHITE,365,a3c3,a3c3,a3c3
114,WHITE,75,d1b3,d1b3,d1b3
115,WHITE,52,c1e3,c1e3,c1e3
116,WHITE,315,g2e4,g2e4,g2e4
117,WHITE,125,f1c1,f1c1,f1c1
118,WHITE,389,b3c2,b3c2,b3c2
119,WHITE,397,c3c7,c3c7,c3c7
120,WHITE,1159,c7f7,c7f7,c7f7
121,WHITE,214,c2c8,c2c8,c2c8
122,WHITE,44,c1c8,c1c8,c1c8
123,WHITE,449,e3b6,e3b6,e3b6
124,BLACK,271,e2e3,d7d6,d7d6
125,BLACK,202,b2b3,g7g6,g7g6
126,BLACK,1460,b1c3,g8f6,g8f6
127,BLACK,57,c1b2,f8g7,f8g7
128,BLACK,291,f2f4,c7c5,c7c5
129,BLACK,1480,g1f3,b8c6,b8c6
130,BLACK,114,f1c4,c8f5,c8f5
131,BLACK,339,h2h3,a7a6,a7a6
132,BLACK,314,g2g4,b7b5,b7b5
133,BLACK,1,O-O,O-O,e8g8
134,BLACK,249,d2c3,e7f6,e7f6
135,BLACK,1556,f3g5,c6b4,c6b4
136,BLACK,694,g4f5,b5c4,b5c4
137,BLACK,602,c4e2,f5d7,f5d7
138,BLACK,270,e2f3,d7c6,d7c6
139,BLACK,62,c1d1,f8e8,f8e8
140,BLACK,477,f3d5,c6e4,c6e4
141,BLACK,69,d1d5,e8e4,e8e4
142,BLACK,668,f4g5,c5b4,c5b4
143,BLACK,822,d5d2,e4e7,e4e7
144,BLACK,163,h1g1,a8b8,a8b8
145,BLACK,251,d2g2,e7b7,e7b7
146,BLACK,404,c3c4,f6f5,f6f5
147,BLACK,35,b1b2,g8g7,g8g7
148,BLACK,96,e1c3,d8f6,d8f6
149,BLACK,317,g2g3,b7b6,b7b6
150,BLACK,201,b2c3,g7f6,g7f6
151,BLACK,525,h3h4,a6a5,a6a5
152,BLACK,143,g1f1,b8c8,b8c8
153,BLACK,179,a2a4,h7h5,h7h5
154,BLACK,454,e3e4,d6d5,d6d5
155,BLACK,113,f1f4,c8c5,c8c5
156,BLACK,642,e4f5,d5c4,d5c4
157,BLACK,515,g3g1,b6b8,b6b8
158,BLACK,143,g1f1,b8c8,b8c8
159,BLACK,545,a4a5,h5h4,h5h4
160,BLACK,673,f4e4,c5d5,c5d5
161,BLACK,647,e4f4,d5c5,d5c5
162,BLACK,113,f1f4,c8c5,c8c5
163,BLACK,674,f4d4,c5e5,c5e5
164,BLACK,380,b3b4,g6g5,g6g5
165,BLACK,610,d4d7,e5e2,e5e2
166,BLACK,403,c3d4,f6e5,f6e5
167,BLACK,715,h4h5,a5a4,a5a4
168,BLACK,615,d4e5,e5d4,e5d4
169,BLACK,832,e5f6,d4c3,d4c3
170,BLACK,225,c2c3,f7f6,f7f6
171,BLACK,1056,f6e5,c3d4,c3d4
172,BLACK,834,e5d6,d4e3,d4e3
173,BLACK,405,c3b4,f6g5,f6g5
174,BLACK,1006,d6c5,e3f4,e3f4
175,BLACK,781,c5b6,f4g3,f4g3
176,BLACK,955,b6c5,g3f4,g3f4
177,BLACK,566,b4b5,g5g4,g5g4
178,BLACK,781,c5b6,f4g3,f4g3
179,BLACK,757,b5a6,g4h3,g4h3
180,BLACK,954,b6a6,g3h3,g3h3
181,BLACK,933,a6b5,h3g4,h3g4
182,BLACK,763,b5c5,g4f4,g4f4
183,BLACK,789,c5d4,f4e5,f4e5
184,WHITE,268,e2e4,e2e4,e2e4
185,WHITE,317,g2g3,g2g3,g2g3
186,WHITE,118,f1g2,f1g2,f1g2
187,WHITE,1481,g1e2,g1e2,g1e2
188,WHITE,1,O-O,O-O,e1g1
189,WHITE,245,d2d4,d2d4,d2d4
190,WHITE,222,c2c4,c2c4,c2c4
191,WHITE,291,f2f4,f2f4,f2f4
192,WHITE,669,f4f5,f4f5,f4f5
193,WHITE,616,d4d5,d4d5,d4d5
194,WHITE,1460,b1c3,b1c3,b1c3
195,WHITE,200,b2b4,b2b4,b2b4
196,WHITE,181,a2a3,a2a3,a2a3
197,WHITE,642,e4f5,e4f5,e4f5
198,WHITE,339,h2h3,h2h3,h2h3
199,WHITE,503,g3g4,g3g4,g3g4
200,WHITE,1505,e2g3,e2g3,e2g3
201,WHITE,52,c1e3,c1e3,c1e3
202,WHITE,77,d1d2,d1d2,d1d2
